seed,model,year,regime_distance,auc,baseline,delta,in_sample,n_year
0,RF,2023,0.6394418814780063,0.7000023648551,0.7424023278334186,-0.042399962978318606,False,4380
0,GBM,2011,0.5949114908106334,0.7210018809075974,0.7466500657863339,-0.025648184878736435,True,4655
0,GBM,2012,0.5581858834305773,0.7605452590710756,0.7466500657863339,0.013895193284741758,True,4687
0,GBM,2013,0.5600663970395598,0.7878301549351457,0.7466500657863339,0.04118008914881188,True,4660
0,GBM,2014,0.5129106049634652,0.7571571954308656,0.7466500657863339,0.01050712964453171,True,4648
0,GBM,2015,0.5290762056273005,0.7364443714879789,0.7466500657863339,-0.01020569429835494,True,4623
0,GBM,2016,0.5044042132004992,0.7487477347481136,0.7466500657863339,0.002097668961779764,True,4578
0,GBM,2017,0.5145865800865801,0.7484611873835867,0.7466500657863339,0.0018111215972528294,True,4531
0,GBM,2018,0.5365540429719535,0.7212112822372385,0.7466500657863339,-0.025438783549095345,True,4507
0,GBM,2019,0.5676484024505,0.7308628432347195,0.7466500657863339,-0.015787222551614355,False,4462
0,GBM,2020,0.7608519655964132,0.7190631852240473,0.7466500657863339,-0.02758688056228653,False,4435
0,GBM,2021,0.6798517464732037,0.638623883944827,0.7466500657863339,-0.10802618184150681,False,4408
0,GBM,2022,0.6334099616858238,0.6717223011363636,0.7466500657863339,-0.07492776464997031,False,4391
0,GBM,2023,0.6404780728809192,0.7100254090542418,0.7466500657863339,-0.03662465673209203,False,4380
1,LogReg,2011,0.5633355553276587,0.7090007380215733,0.7284192580091395,-0.019418519987566274,True,4655
1,LogReg,2012,0.5363169048832375,0.7306485504711713,0.7284192580091395,0.00222929246203174,True,4687
1,LogReg,2013,0.5468309882576512,0.7295138888888889,0.7284192580091395,0.0010946308797493698,True,4660
1,LogReg,2014,0.4928993985469685,0.7392056309703369,0.7284192580091395,0.010786372961197332,True,4648
1,LogReg,2015,0.5164765189981328,0.7074182092335773,0.7284192580091395,-0.021001048775562192,True,4623
1,LogReg,2016,0.5059984415501805,0.750752393980848,0.7284192580091395,0.022333135971708495,True,4578
1,LogReg,2017,0.5176304768912792,0.7341465881035594,0.7284192580091395,0.005727330094419836,True,4531
1,LogReg,2018,0.517689705541488,0.7303820574431954,0.7284192580091395,0.001962799434055862,True,4507
1,LogReg,2019,0.5562434706170096,0.7225012261958075,0.7284192580091395,-0.005918031813332059,False,4462
