seed,model,n,tau,year,alarm_rate,n_frame
1,GBM,200,0.6767987710475982,2022,0.372,1314
1,GBM,200,0.6767987710475982,2023,0.1035,1318
1,GBM,400,0.6942379149792909,2019,0.038,1330
1,GBM,400,0.6942379149792909,2020,0.017,1322
1,GBM,400,0.6942379149792909,2021,0.928,1320
1,GBM,400,0.6942379149792909,2022,0.558,1314
1,GBM,400,0.6942379149792909,2023,0.1515,1318
1,GBM,800,0.7088905775257658,2019,0.0415,1330
1,GBM,800,0.7088905775257658,2020,0.013,1322
1,GBM,800,0.7088905775257658,2021,0.998,1320
1,GBM,800,0.7088905775257658,2022,0.86,1314
1,GBM,800,0.7088905775257658,2023,0.2245,1318
2,LogReg,25,0.5263157894736842,2019,0.0605,1325
2,LogReg,25,0.5263157894736842,2020,0.045591182364729456,1325
2,LogReg,25,0.5263157894736842,2021,0.1275,1318
2,LogReg,25,0.5263157894736842,2022,0.087,1313
2,LogReg,25,0.5263157894736842,2023,0.05,1310
2,LogReg,50,0.5920608802961744,2019,0.073,1325
2,LogReg,50,0.5920608802961744,2020,0.0545,1325
2,LogReg,50,0.5920608802961744,2021,0.1625,1318
2,LogReg,50,0.5920608802961744,2022,0.138,1313
2,LogReg,50,0.5920608802961744,2023,0.054,1310
2,LogReg,100,0.6357963098202134,2019,0.0895,1325
2,LogReg,100,0.6357963098202134,2020,0.038,1325
2,LogReg,100,0.6357963098202134,2021,0.24,1318
2,LogReg,100,0.6357963098202134,2022,0.225,1313
2,LogReg,100,0.6357963098202134,2023,0.058,1310
2,LogReg,200,0.6606599296749336,2019,0.0795,1325
2,LogReg,200,0.6606599296749336,2020,0.0295,1325
2,LogReg,200,0.6606599296749336,2021,0.3475,1318
2,LogReg,200,0.6606599296749336,2022,0.3365,1313
2,LogReg,200,0.6606599296749336,2023,0.054,1310
2,LogReg,400,0.6806686694033949,2019,0.104,1325
2,LogReg,400,0.6806686694033949,2020,0.0135,1325
2,LogReg,400,0.6806686694033949,2021,0.514,1318
2,LogReg,400,0.6806686694033949,2022,0.5575,1313
2,LogReg,400,0.6806686694033949,2023,0.0635,1310
2,LogReg,800,0.6940188776325451,2019,0.127,1325
2,LogReg,800,0.6940188776325451,2020,0.011,1325
2,LogReg,800,0.6940188776325451,2021,0.7465,1318
2,LogReg,800,0.6940188776325451,2022,0.816,1313
2,LogReg,800,0.6940188776325451,2023,0.0735,1310
2,RF,25,0.5238095238095238,2019,0.051,1325
2,RF,25,0.5238095238095238,2020,0.05460921843687375,1325
2,RF,25,0.5238095238095238,2021,0.13,1318
2,RF,25,0.5238095238095238,2022,0.0835,1313
2,RF,25,0.5238095238095238,2023,0.0615,1310
2,RF,50,0.5892857142857143,2019,0.052,1325
2,RF,50,0.5892857142857143,2020,0.05,1325
2,RF,50,0.5892857142857143,2021,0.178,1318
2,RF,50,0.5892857142857143,2022,0.1075,1313
2,RF,50,0.5892857142857143,2023,0.062,1310
2,RF,100,0.6404299935037641,2019,0.072,1325
2,RF,100,0.6404299935037641,2020,0.0505,1325
2,RF,100,0.6404299935037641,2021,0.269,1318
2,RF,100,0.6404299935037641,2022,0.2095,1313
2,RF,100,0.6404299935037641,2023,0.117,1310
2,RF,200,0.6670006067456926,2019,0.0625,1325
2,RF,200,0.6670006067456926,2020,0.0375,1325
2,RF,200,0.6670006067456926,2021,0.431,1318
2,RF,200,0.6670006067456926,2022,0.3375,1313
2,RF,200,0.6670006067456926,2023,0.145,1310
2,RF,400,0.684566398976508,2019,0.07,1325
2,RF,400,0.684566398976508,2020,0.0205,1325
