panel,cutoff,seed,model,year,elapsed,auc,baseline,delta,n,n_baseline
imbalanced,2016,4,RF,2018,2,0.7087154490816875,0.7387210485667604,-0.030005599485072865,1347,8353
imbalanced,2016,4,RF,2019,3,0.7283987424832497,0.7387210485667604,-0.010322306083510702,1330,8353
imbalanced,2016,4,RF,2020,4,0.7467599194698432,0.7387210485667604,0.008038870903082862,1321,8353
imbalanced,2016,4,RF,2021,5,0.6625143946804691,0.7387210485667604,-0.07620665388629122,1305,8353
imbalanced,2016,4,RF,2022,6,0.6801326434460304,0.7387210485667604,-0.058588405120729936,1308,8353
imbalanced,2016,4,RF,2023,7,0.6986124340464698,0.7387210485667604,-0.040108614520290575,1311,8353
imbalanced,2016,4,GBM,2017,1,0.7469417318049415,0.7452849198516398,0.0016568119533016956,1353,8353
imbalanced,2016,4,GBM,2018,2,0.7178998078926966,0.7452849198516398,-0.02738511195894322,1347,8353
imbalanced,2016,4,GBM,2019,3,0.7240251183913157,0.7452849198516398,-0.021259801460324135,1330,8353
imbalanced,2016,4,GBM,2020,4,0.7463509772670077,0.7452849198516398,0.0010660574153679159,1321,8353
imbalanced,2016,4,GBM,2021,5,0.6548465186542677,0.7452849198516398,-0.09043840119737212,1305,8353
imbalanced,2016,4,GBM,2022,6,0.6752766015900826,0.7452849198516398,-0.07000831826155718,1308,8353
imbalanced,2016,4,GBM,2023,7,0.7107476160407548,0.7452849198516398,-0.034537303810885045,1311,8353
balanced,2018,0,LogReg,2019,1,0.7246685536620421,0.7303979412001139,-0.0057293875380718395,1155,9240
balanced,2018,0,LogReg,2020,2,0.7229581487767521,0.7303979412001139,-0.007439792423361791,1155,9240
balanced,2018,0,LogReg,2021,3,0.6287131651473393,0.7303979412001139,-0.1016847760527746,1155,9240
balanced,2018,0,LogReg,2022,4,0.6326499802819678,0.7303979412001139,-0.09774796091814608,1155,9240
balanced,2018,0,LogReg,2023,5,0.702394391099747,0.7303979412001139,-0.028003550100366925,1155,9240
balanced,2018,0,RF,2019,1,0.723766608981316,0.7203386817583677,0.0034279272229482682,1155,9240
balanced,2018,0,RF,2020,2,0.7250227677277808,0.7203386817583677,0.004684085969413165,1155,9240
balanced,2018,0,RF,2021,3,0.6355310578757685,0.7203386817583677,-0.08480762388259921,1155,9240
balanced,2018,0,RF,2022,4,0.6552640983929803,0.7203386817583677,-0.0650745833653874,1155,9240
balanced,2018,0,RF,2023,5,0.6877839131735712,0.7203386817583677,-0.032554768584796445,1155,9240
balanced,2018,0,GBM,2019,1,0.7388906813715426,0.7376493694449564,0.0012413119265861638,1155,9240
balanced,2018,0,GBM,2020,2,0.7328129527673138,0.7376493694449564,-0.004836416677642563,1155,9240
balanced,2018,0,GBM,2021,3,0.6421793512825948,0.7376493694449564,-0.09547001816236156,1155,9240
balanced,2018,0,GBM,2022,4,0.6648088583259391,0.7376493694449564,-0.07284051111901735,1155,9240
balanced,2018,0,GBM,2023,5,0.7188596550879961,0.7376493694449564,-0.018789714356960308,1155,9240
balanced,2018,1,LogReg,2019,1,0.717521829902013,0.7222183328164827,-0.004696502914469769,1155,9240
balanced,2018,1,LogReg,2020,2,0.7441123534224161,0.7222183328164827,0.021894020605933373,1155,9240
balanced,2018,1,LogReg,2021,3,0.6599677722126703,0.7222183328164827,-0.0622505606038124,1155,9240
balanced,2018,1,LogReg,2022,4,0.6575579845374567,0.7222183328164827,-0.064660348279026,1155,9240
balanced,2018,1,LogReg,2023,5,0.6990810511485108,0.7222183328164827,-0.02313728166797191,1155,9240
balanced,2018,1,RF,2019,1,0.7219982932293015,0.721205769565316,0.0007925236639855227,1155,9240
balanced,2018,1,RF,2020,2,0.7329260976274884,0.721205769565316,0.01172032806217238,1155,9240
balanced,2018,1,RF,2021,3,0.6406601712724161,0.721205769565316,-0.08054559829289987,1155,9240
balanced,2018,1,RF,2022,4,0.6569689943146944,0.721205769565316,-0.06423677525062166,1155,9240
balanced,2018,1,RF,2023,5,0.6879499239466434,0.721205769565316,-0.033255845618672564,1155,9240
balanced,2018,1,GBM,2019,1,0.7326313222901206,0.7331088033522173,-0.00047748106209666297,1155,9240
balanced,2018,1,GBM,2020,2,0.7340087264794108,0.7331088033522173,0.0008999231271935582,1155,9240
balanced,2018,1,GBM,2021,3,0.653219040974143,0.7331088033522173,-0.07988976237807432,1155,9240
balanced,2018,1,GBM,2022,4,0.6628588965423173,0.7331088033522173,-0.07024990680989995,1155,9240
balanced,2018,1,GBM,2023,5,0.7048814338686274,0.7331088033522173,-0.028227369483589837,1155,9240
balanced,2018,2,LogReg,2019,1,0.731744718851103,0.7249617827021969,0.006782936148906127,1155,9240
balanced,2018,2,LogReg,2020,2,0.7616663959061003,0.7249617827021969,0.03670461320390339,1155,9240
balanced,2018,2,LogReg,2021,3,0.6382697718677965,0.7249617827021969,-0.08669201083440037,1155,9240
balanced,2018,2,LogReg,2022,4,0.6349996590056605,0.7249617827021969,-0.08996212369653644,1155,9240
balanced,2018,2,LogReg,2023,5,0.7039666907327058,0.7249617827021969,-0.02099509196949112,1155,9240
balanced,2018,2,RF,2019,1,0.7340247990747925,0.7230092394426626,0.011015559632129857,1155,9240
balanced,2018,2,RF,2020,2,0.7558941190804972,0.7230092394426626,0.032884879637834596,1155,9240
balanced,2018,2,RF,2021,3,0.6532653011000549,0.7230092394426626,-0.06974393834260773,1155,9240
balanced,2018,2,RF,2022,4,0.6622606064739326,0.7230092394426626,-0.06074863296873001,1155,9240
balanced,2018,2,RF,2023,5,0.6833061130075773,0.7230092394426626,-0.039703126435085334,1155,9240
balanced,2018,2,GBM,2019,1,0.7419117539416474,0.7306037896521355,0.011307964289511974,1155,9240
balanced,2018,2,GBM,2020,2,0.7659689505320445,0.7306037896521355,0.03536516087990904,1155,9240
balanced,2018,2,GBM,2021,3,0.6585112753582767,0.7306037896521355,-0.07209251429385877,1155,9240
balanced,2018,2,GBM,2022,4,0.6494981183312356,0.7306037896521355,-0.08110567132089985,1155,9240
balanced,2018,2,GBM,2023,5,0.7076712251950401,0.7306037896521355,-0.02293256445709535,1155,9240
balanced,2018,3,LogReg,2019,1,0.7367139944715706,0.7256147382821896,0.011099256189381013,1155,9240
balanced,2018,3,LogReg,2020,2,0.7624434172165107,0.7256147382821896,0.03682867893432107,1155,9240
balanced,2018,3,LogReg,2021,3,0.6321493830953575,0.7256147382821896,-0.09346535518683208,1155,9240
balanced,2018,3,LogReg,2022,4,0.6735758513931888,0.7256147382821896,-0.052038886889000824,1155,9240
balanced,2018,3,LogReg,2023,5,0.6998930273266557,0.7256147382821896,-0.025721710955533883,1155,9240
balanced,2018,3,RF,2019,1,0.7400441113521437,0.7202559152576558,0.019788196094487898,1155,9240
balanced,2018,3,RF,2020,2,0.7597437471229093,0.7202559152576558,0.03948783186525351,1155,9240
balanced,2018,3,RF,2021,3,0.6632412153749132,0.7202559152576558,-0.05701469988274255,1155,9240
