spec,panel,outcome,seed,model,entity,period,auc,n
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,RF,E_seen,P_seen,0.8332164474750987,3894
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,RF,E_unseen,P_seen,0.7030228076473675,8378
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,RF,E_seen,P_unseen,0.7988328680803639,12577
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,RF,E_unseen,P_unseen,0.7080056258075806,5358
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,GBM,E_seen,P_seen,0.7701834963396154,3894
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,GBM,E_unseen,P_seen,0.7199633586834973,8378
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,GBM,E_seen,P_unseen,0.7693826772204279,12577
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,2,GBM,E_unseen,P_unseen,0.7219932239081297,5358
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,LogReg,E_seen,P_seen,0.6696367760195044,3883
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,LogReg,E_unseen,P_seen,0.6245547139159242,8433
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,LogReg,E_seen,P_unseen,0.676422475178909,12484
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,LogReg,E_unseen,P_unseen,0.6175654245214462,5451
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,RF,E_seen,P_seen,0.8504794399670569,3883
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,RF,E_unseen,P_seen,0.7124922166683793,8433
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,RF,E_seen,P_unseen,0.8034355469970323,12484
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,RF,E_unseen,P_unseen,0.673783503258525,5451
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,GBM,E_seen,P_seen,0.7880006013425624,3883
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,GBM,E_unseen,P_seen,0.7277249918038,8433
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,GBM,E_seen,P_unseen,0.7733175853639218,12484
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,3,GBM,E_unseen,P_unseen,0.6925147170607293,5451
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,LogReg,E_seen,P_seen,0.6157473424734055,3899
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,LogReg,E_unseen,P_seen,0.6791099387987232,8353
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,LogReg,E_seen,P_unseen,0.6373010470859153,12584
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,LogReg,E_unseen,P_unseen,0.7078295153087397,5351
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,RF,E_seen,P_seen,0.8468551053850067,3899
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,RF,E_unseen,P_seen,0.7429045558082552,8353
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,RF,E_seen,P_unseen,0.7861562146366079,12584
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,RF,E_unseen,P_unseen,0.7414395904700614,5351
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,GBM,E_seen,P_seen,0.7729699725439099,3899
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,GBM,E_unseen,P_seen,0.7610050695047759,8353
exit    2011-2016 -> 2017-2020,imbalanced,is_exiter,4,GBM,E_seen,P_unseen,0.7570187801383184,12584
