arm,seed,model,year,auc,baseline,delta
ablated,1,RF,2023,0.689277763556962,0.7144917423141686,-0.025213978757206545
ablated,1,GBM,2019,0.7319522636640863,0.7331947655216211,-0.0012425018575348279
ablated,1,GBM,2020,0.7362236414281025,0.7331947655216211,0.0030288759064813764
ablated,1,GBM,2021,0.6044316185382016,0.7331947655216211,-0.1287631469834195
ablated,1,GBM,2022,0.6495514040932889,0.7331947655216211,-0.08364336142833217
ablated,1,GBM,2023,0.7100336904050863,0.7331947655216211,-0.023161075116534757
ablated,2,LogReg,2019,0.6951982803584694,0.7244213752281872,-0.029223094869717747
ablated,2,LogReg,2020,0.7029227283403102,0.7244213752281872,-0.02149864688787695
ablated,2,LogReg,2021,0.6206012061432273,0.7244213752281872,-0.10382016908495983
ablated,2,LogReg,2022,0.6522920755036636,0.7244213752281872,-0.07212929972452353
ablated,2,LogReg,2023,0.7129547149486245,0.7244213752281872,-0.011466660279562668
ablated,2,RF,2019,0.7066572887195941,0.716110804309003,-0.009453515589408878
ablated,2,RF,2020,0.7145659772592255,0.716110804309003,-0.0015448270497774308
ablated,2,RF,2021,0.6203680223390085,0.716110804309003,-0.09574278196999453
ablated,2,RF,2022,0.6338844103099868,0.716110804309003,-0.08222639399901621
ablated,2,RF,2023,0.6921688556513093,0.716110804309003,-0.023941948657693723
ablated,2,GBM,2019,0.7102991459745953,0.7357021333907499,-0.025402987416154543
ablated,2,GBM,2020,0.7165692654149569,0.7357021333907499,-0.019132867975792944
ablated,2,GBM,2021,0.6274174602203004,0.7357021333907499,-0.10828467317044943
ablated,2,GBM,2022,0.6531697514741663,0.7357021333907499,-0.08253238191658352
ablated,2,GBM,2023,0.7255215238647663,0.7357021333907499,-0.010180609525983542
ablated,3,LogReg,2019,0.7043139066389509,0.7297222613505916,-0.025408354711640713
ablated,3,LogReg,2020,0.6948753782245243,0.7297222613505916,-0.03484688312606732
ablated,3,LogReg,2021,0.6112797474502185,0.7297222613505916,-0.11844251390037308
ablated,3,LogReg,2022,0.6357831106263067,0.7297222613505916,-0.09393915072428494
ablated,3,LogReg,2023,0.7014505839831245,0.7297222613505916,-0.028271677367467052
ablated,3,RF,2019,0.7164652141555676,0.7219967654504753,-0.005531551294907677
ablated,3,RF,2020,0.7142064977691164,0.7219967654504753,-0.007790267681358931
ablated,3,RF,2021,0.6264801452392517,0.7219967654504753,-0.09551662021122365
ablated,3,RF,2022,0.6257431142623398,0.7219967654504753,-0.09625365118813556
ablated,3,RF,2023,0.6809352912518589,0.7219967654504753,-0.04106147419861639
ablated,3,GBM,2019,0.722825724330844,0.7424101824114847,-0.019584458080640688
ablated,3,GBM,2020,0.7128939304579722,0.7424101824114847,-0.029516251953512485
ablated,3,GBM,2021,0.6251098545294757,0.7424101824114847,-0.11730032788200906
ablated,3,GBM,2022,0.6382044814107809,0.7424101824114847,-0.10420570100070381
ablated,3,GBM,2023,0.7063989450298305,0.7424101824114847,-0.03601123738165424
ablated,4,LogReg,2019,0.686941151729884,0.7233883534756964,-0.036447201745812396
ablated,4,LogReg,2020,0.7195355535050191,0.7233883534756964,-0.003852799970677334
ablated,4,LogReg,2021,0.595057516809272,0.7233883534756964,-0.12833083666642442
ablated,4,LogReg,2022,0.6252678052859764,0.7233883534756964,-0.09812054818972005
ablated,4,LogReg,2023,0.6957013816796344,0.7233883534756964,-0.027686971796062054
ablated,4,RF,2019,0.7059263538136777,0.7147259489885246,-0.008799595174846853
ablated,4,RF,2020,0.7130728686072199,0.7147259489885246,-0.001653080381304739
ablated,4,RF,2021,0.622766502804641,0.7147259489885246,-0.09195944618388363
ablated,4,RF,2022,0.6309793780892499,0.7147259489885246,-0.08374657089927473
ablated,4,RF,2023,0.682189603690187,0.7147259489885246,-0.0325363452983376
ablated,4,GBM,2019,0.7072333832897213,0.7340965050920369,-0.026863121802315648
ablated,4,GBM,2020,0.7261083382266589,0.7340965050920369,-0.007988166865378066
ablated,4,GBM,2021,0.6099691675231244,0.7340965050920369,-0.12412733756891259
ablated,4,GBM,2022,0.6332881066738643,0.7340965050920369,-0.10080839841817268
ablated,4,GBM,2023,0.701237197255905,0.7340965050920369,-0.03285930783613189
